hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
9,1860,-5.88469,-1.89954,-21.397,-6.90276,-5.99253,-2.01558
9,1920,-5.88552,-1.89801,-21.5431,-6.95297,-5.5933,-1.88185
9,1980,-5.58797,-1.80159,-19.6863,-6.37178,-3.14853,-1.06104
9,2040,-5.59446,-1.81234,-15.4154,-5.01349,-3.06113,-1.02413
9,2100,-5.97336,-1.93482,-15.4009,-5.01125,-3.06105,-1.02386
9,2160,-5.97624,-1.93825,-13.431,-4.37699,-2.7697,-0.924142
9,2220,-6.10921,-1.9813,-13.4305,-4.37745,-2.76967,-0.924078
9,2280,-6.11258,-1.98665,-10.6272,-3.46975,-2.60709,-0.866676
9,2340,-6.14299,-1.99577,-10.756,-3.51182,-2.78424,-0.925671
9,2400,-6.04701,-1.9605,-12.9126,-4.20551,-2.96872,-0.9909
9,2460,-6.28065,-2.03258,-14.4258,-4.69885,-2.90549,-0.971049
9,2520,-6.34067,-2.05287,-14.3387,-4.66981,-3.09868,-1.03544
9,2580,-6.37585,-2.08621,-12.2012,-3.95264,-7.99441,-2.64916
9,2640,-6.81155,-2.2343,-10.6915,-3.46264,-9.2678,-3.0591
9,2700,-6.97356,-2.28518,-10.8814,-3.52661,-9.01694,-2.97766
9,2760,-9.11565,-2.97337,-10.8786,-3.54834,-7.74354,-2.55379
9,2820,-9.29294,-3.02886,-11.8027,-3.84634,-8.00152,-2.64276
9,2880,-9.28255,-3.02449,-13.8494,-4.49564,-9.86863,-3.26493
9,2940,-7.14511,-2.33461,-13.8605,-4.47758,-9.87469,-3.27574
9,3000,-7.25654,-2.37255,-12.7922,-4.14003,-9.49681,-3.14509
9,3060,-7.41316,-2.42531,-13.0288,-4.22035,-9.27264,-3.06982
9,3120,-7.5808,-2.48326,-12.4204,-4.02203,-9.73771,-3.21951
9,3180,-7.43345,-2.43542,-12.4343,-4.02452,-9.93225,-3.28415
9,3240,-7.40915,-2.39469,-24.9206,-7.9444,-10.2853,-3.48646
9,3300,-7.30322,-2.35451,-26.9692,-8.57267,-10.11,-3.44266
9,3360,-7.50405,-2.41972,-26.7767,-8.51664,-10.0313,-3.41414
9,3420,-7.29754,-2.39133,-14.3762,-4.63849,-11.7634,-3.89456
9,3480,-7.38793,-2.4265,-12.1009,-3.91524,-11.5903,-3.81974
9,3540,-9.17092,-3.00478,-12.6959,-4.12069,-12.0813,-3.97352
10,0,-7.22385,-2.36959,-11.6573,-3.78056,-10.5972,-3.49145
10,60,-4.53634,-1.49121,-11.6496,-3.75797,-10.7579,-3.5567
10,120,-4.26092,-1.39754,-11.6384,-3.75834,-9.3614,-3.10002
10,180,-3.80927,-1.24483,-11.205,-3.63376,-6.39739,-2.12303
10,240,-3.80919,-1.24494,-11.2053,-3.63383,-6.39727,-2.12294
10,300,-3.8584,-1.25738,-13.2709,-4.29219,-6.33209,-2.1097
10,360,-3.52869,-1.15446,-10.7098,-3.47192,-6.33803,-2.10181
10,420,-5.5676,-1.81701,-10.4986,-3.41796,-6.23359,-2.06077
10,480,-5.51821,-1.80213,-10.6079,-3.45132,-6.52074,-2.15585
10,540,-5.51759,-1.80192,-10.7673,-3.50198,-6.70008,-2.2156
10,600,-3.24328,-1.06422,-10.9643,-3.54306,-8.87673,-2.93913
10,660,-3.45981,-1.13643,-10.8348,-3.50127,-9.30681,-3.07878
10,720,-3.52049,-1.14864,-13.2994,-4.3008,-7.11928,-2.36981
10,780,-3.54133,-1.15509,-13.5186,-4.37204,-7.11871,-2.36998
10,840,-3.54299,-1.15181,-13.461,-4.3622,-5.513,-1.83767
10,900,-3.36042,-1.09654,-11.1526,-3.62106,-5.43451,-1.80413
10,960,-3.55957,-1.15967,-11.0451,-3.59076,-5.01629,-1.66478
10,1020,-3.63631,-1.19265,-11.0476,-3.57215,-7.96332,-2.64107
10,1080,-3.6253,-1.18541,-12.9011,-4.15449,-7.95655,-2.65245
10,1140,-3.63674,-1.18785,-14.8217,-4.77042,-8.17789,-2.73245
10,1200,-3.3086,-1.06542,-26.0489,-8.24003,-8.14936,-2.7805
10,1260,-3.31007,-1.06893,-23.9982,-7.60877,-8.15679,-2.76889
10,1320,-3.31014,-1.06928,-23.9313,-7.58698,-8.32893,-2.82609
10,1380,-5.8338,-1.90482,-12.8174,-4.16001,-8.24924,-2.73249
10,1440,-5.91617,-1.93129,-12.7539,-4.14023,-8.24897,-2.7321
10,1500,-6.01665,-1.96423,-12.7537,-4.1403,-8.24882,-2.73202
10,1560,-6.46524,-2.1256,-8.37352,-2.73658,-8.11899,-2.65701
10,1620,-6.45344,-2.12143,-8.43399,-2.75603,-8.11871,-2.6575
10,1680,-6.67323,-2.19321,-8.53895,-2.79083,-8.23075,-2.69421
10,1740,-6.6734,-2.19418,-8.38036,-2.7391,-8.30841,-2.71863
10,1800,-8.89668,-2.9219,-8.33828,-2.72895,-8.12799,-2.65791
10,1860,-8.75162,-2.87193,-8.43988,-2.76275,-7.60816,-2.4895
10,1920,-8.55424,-2.80881,-8.09411,-2.64912,-7.60843,-2.48878
10,1980,-5.92939,-1.94967,-8.26397,-2.69875,-8.01107,-2.62339
10,2040,-5.9278,-1.9484,-8.54381,-2.79009,-8.01176,-2.62447
10,2100,-5.73569,-1.88594,-8.4497,-2.75844,-8.01214,-2.62494
10,2160,-5.65009,-1.85723,-8.27061,-2.70094,-7.68615,-2.51812
10,2220,-5.4731,-1.77733,-8.84948,-2.90515,-2.25751,-0.746163
10,2280,-7.11735,-2.31287,-8.73927,-2.87138,-4.32355,-1.42206
10,2340,-4.52476,-1.47629,-8.83735,-2.89037,-4.32672,-1.42829
10,2400,-4.68153,-1.5195,-11.929,-3.88402,-4.32115,-1.43727
10,2460,-4.74063,-1.53329,-11.7881,-3.84893,-2.04858,-0.683493
10,2520,-2.93061,-0.950742,-11.795,-3.83783,-2.04961,-0.685577
10,2580,-2.96751,-0.966301,-11.2286,-3.6534,-3.88015,-1.29015
10,2640,-2.8556,-0.946652,-11.48,-3.6863,-14.7386,-4.85141
10,2700,-3.0966,-1.02562,-11.4164,-3.66738,-14.7396,-4.85033
10,2760,-2.90686,-0.961822,-9.52373,-3.06547,-12.879,-4.23306
10,2820,-2.70642,-0.885123,-10.0987,-3.27823,-5.37019,-1.78189
10,2880,-2.75042,-0.900126,-9.98938,-3.24354,-5.37017,-1.78099
10,2940,-2.8669,-0.938005,-9.8094,-3.18628,-5.18843,-1.72047
10,3000,-2.86732,-0.937416,-9.99121,-3.24573,-4.99812,-1.65807
10,3060,-2.7221,-0.892296,-7.42844,-2.41647,-5.00127,-1.65265
10,3120,-2.722,-0.892764,-7.47769,-2.43196,-5.19638,-1.71681
10,3180,-3.02641,-0.992331,-7.25773,-2.36287,-5.35599,-1.76757
10,3240,-3.02718,-0.992457,-7.2582,-2.36282,-5.35581,-1.76776
10,3300,-3.3331,-1.09275,-7.00672,-2.28437,-5.17232,-1.70528
10,3360,-7.87157,-2.56772,-6.84248,-2.25176,-5.32764,-1.74493
10,3420,-7.83103,-2.55529,-6.84251,-2.25103,-5.43141,-1.77892
10,3480,-7.83109,-2.55571,-6.74085,-2.21784,-5.43176,-1.7786
10,3540,-3.77516,-1.23918,-6.41623,-2.09336,-5.6437,-1.8572
11,0,-3.61619,-1.19186,-3.77523,-1.23627,-5.75437,-1.88327
11,60,-3.43503,-1.13166,-3.90031,-1.27632,-5.63357,-1.84541
11,120,-3.84072,-1.26445,-4.28031,-1.40136,-5.63296,-1.84542
11,180,-3.91656,-1.28881,-4.60371,-1.50697,-5.63202,-1.84606
11,240,-4.00216,-1.32063,-4.60383,-1.50461,-6.81305,-2.23033
11,300,-4.15009,-1.36812,-4.5692,-1.49448,-6.69622,-2.19173
11,360,-4.15059,-1.36744,-4.66991,-1.52755,-6.49983,-2.1284
11,420,-4.03795,-1.31891,-6.29991,-2.06824,-1.99822,-0.659104
11,480,-14.9616,-4.80484,-6.2232,-2.07453,-4.05349,-1.3145
11,540,-15.1793,-4.87483,-5.84058,-1.94943,-3.94924,-1.27977
11,600,-14.7743,-4.75187,-5.81489,-1.9377,-4.46235,-1.44684
11,660,-4.28247,-1.40047,-5.78406,-1.89868,-2.41839,-0.796723
11,720,-5.71466,-1.86553,-5.78185,-1.90272,-2.41794,-0.794898
11,780,-5.60577,-1.82934,-5.9831,-1.96877,-2.15936,-0.710302
11,840,-5.92816,-1.93237,-5.93253,-1.95457,-1.81052,-0.595314
11,900,-4.96587,-1.62229,-6.04497,-1.98605,-2.07092,-0.682574
11,960,-9.26835,-3.00671,-6.19632,-2.05256,-1.90814,-0.624929
11,1020,-8.86953,-2.87866,-6.13642,-2.03105,-1.86181,-0.610343
11,1080,-8.86749,-2.87602,-6.78611,-2.24512,-1.97663,-0.648878
11,1140,-8.60501,-2.79224,-6.79967,-2.24846,-1.97673,-0.648935
11,1200,-8.60339,-2.79053,-7.30958,-2.4159,-2.14275,-0.70412
11,1260,-10.8519,-3.51824,-7.31995,-2.42561,-1.95215,-0.640411
11,1320,-10.9932,-3.56357,-7.31968,-2.42614,-1.95213,-0.64025
11,1380,-10.959,-3.55571,-6.70929,-2.2241,-1.95246,-0.639332
11,1440,-10.7427,-3.47978,-8.86682,-2.93178,-2.09945,-0.690173
11,1500,-10.6798,-3.46549,-7.91386,-2.61732,-2.4222,-0.794065
11,1560,-10.7444,-3.48743,-7.98372,-2.63966,-2.73877,-0.898147
11,1620,-10.6237,-3.50295,-5.71909,-1.87829,-10.6447,-3.44511
11,1680,-10.6232,-3.50312,-5.82298,-1.91195,-10.8365,-3.50757
11,1740,-10.6228,-3.50224,-5.91302,-1.94126,-10.8362,-3.5086
11,1800,-10.7753,-3.50393,-5.77891,-1.91477,-2.75061,-0.899325
11,1860,-10.8346,-3.5278,-5.46129,-1.80882,-3.2088,-1.04759
11,1920,-10.9817,-3.57396,-5.52076,-1.82929,-3.10569,-1.01424
11,1980,-10.8,-3.51709,-5.41136,-1.79191,-3.22702,-1.05367
11,2040,-10.7985,-3.51894,-5.41086,-1.79101,-3.63581,-1.18673
11,2100,-14.3438,-4.66277,-6.10346,-2.02701,-3.52308,-1.14824
11,2160,-14.353,-4.66629,-6.10348,-2.02681,-3.56819,-1.16276
11,2220,-12.134,-3.95256,-6.1476,-2.03458,-3.43894,-1.12415
11,2280,-13.2859,-4.31945,-6.14487,-2.03918,-3.43755,-1.12126
11,2340,-13.1099,-4.26181,-6.2642,-2.07814,-3.43732,-1.12178
11,2400,-13.2674,-4.31032,-6.38447,-2.11928,-3.22457,-1.05257
11,2460,-10.6671,-3.4698,-6.38709,-2.11386,-3.5749,-1.16875
11,2520,-10.6474,-3.48158,-6.39086,-2.10821,-6.68183,-2.17639
11,2580,-10.639,-3.46479,-9.34567,-3.07437,-6.50853,-2.13298
11,2640,-10.631,-3.47598,-9.51316,-3.11955,-8.74084,-2.85907
11,2700,-10.672,-3.48849,-9.50898,-3.11882,-8.69321,-2.84371
11,2760,-10.7278,-3.51335,-10.1176,-3.30926,-10.133,-3.31399
11,2820,-10.7275,-3.51134,-10.1179,-3.31076,-9.91447,-3.24314
11,2880,-10.1831,-3.33634,-10.1315,-3.31101,-10.1411,-3.31871
11,2940,-10.1742,-3.32699,-9.46715,-3.10283,-8.68129,-2.84107
11,3000,-10.1363,-3.32333,-9.80056,-3.20338,-10.9662,-3.58704
11,3060,-10.3048,-3.36785,-9.83469,-3.22269,-8.55614,-2.80235
11,3120,-12.2594,-4.0024,-9.76907,-3.20975,-8.55548,-2.79667
11,3180,-12.2598,-4.00399,-9.59015,-3.15125,-8.6041,-2.81121
11,3240,-12.539,-4.11759,-9.5593,-3.12909,-11.8329,-3.85022
11,3300,-12.5372,-4.115,-9.7391,-3.18814,-11.7013,-3.80901
11,3360,-12.9819,-4.25875,-9.91798,-3.2492,-11.8318,-3.84938
11,3420,-12.8588,-4.22075,-9.61855,-3.15082,-11.8326,-3.84769
11,3480,-12.8586,-4.21282,-10.4423,-3.42023,-11.4421,-3.72895
11,3540,-12.7265,-4.18585,-10.5795,-3.45524,-13.2649,-4.31476
12,0,-12.7264,-4.18474,-10.6813,-3.48853,-13.2025,-4.29566
12,60,-12.9646,-4.22157,-9.83374,-3.24115,-7.22037,-2.35705
12,120,-12.6587,-4.0695,-12.368,-4.09238,-2.17835,-0.720343
12,180,-12.7939,-4.127,-9.59514,-3.18484,-2.18039,-0.71624
12,240,-15.1634,-4.87488,-9.58609,-3.19731,-2.33977,-0.765983
12,300,-12.9869,-4.17965,-11.5239,-3.81577,-2.48919,-0.821753
12,360,-12.954,-4.17037,-11.3041,-3.74374,-2.4896,-0.821178
12,420,-13.5118,-4.34296,-10.9251,-3.6199,-2.83722,-0.936357
12,480,-16.6593,-5.34954,-11.1254,-3.69902,-3.12234,-1.02721
12,540,-16.6504,-5.36056,-11.4697,-3.80321,-5.00518,-1.64373
12,600,-17.8385,-5.74551,-9.38756,-3.13212,-4.67699,-1.5276
12,660,-17.9764,-5.80761,-6.208,-2.08275,-4.33139,-1.40538
12,720,-17.9232,-5.77177,-6.21668,-2.09036,-2.28225,-0.742184
12,780,-18.1124,-5.82982,-6.21679,-2.09162,-1.97266,-0.641501
12,840,-18.0339,-5.80529,-6.21724,-2.09113,-1.97234,-0.641515
12,900,-18.2165,-5.86823,-5.76805,-1.94149,-1.97288,-0.640457
12,960,-18.026,-5.80776,-5.82818,-1.96029,-1.97254,-0.641161
12,1020,-18.1116,-5.9057,-5.75679,-1.92014,-10.5953,-3.41672
12,1080,-17.6065,-5.74519,-5.65671,-1.88449,-10.5968,-3.41873
12,1140,-13.2275,-4.30799,-10.2322,-3.36809,-10.5969,-3.45708
12,1200,-13.2516,-4.26546,-10.2306,-3.39665,-1.97328,-0.649663
12,1260,-13.2361,-4.26272,-10.2021,-3.38604,-1.97309,-0.649641
12,1320,-13.2727,-4.28415,-8.30917,-2.76326,-1.80458,-0.591777
12,1380,-10.1206,-3.28385,-8.35918,-2.76017,-1.91228,-0.630057
12,1440,-10.1306,-3.28566,-8.5092,-2.81026,-1.75145,-0.577277
12,1500,-10.3287,-3.35076,-8.23714,-2.72153,-1.85647,-0.611153
12,1560,-10.5697,-3.42758,-8.23628,-2.72275,-1.73951,-0.572649
12,1620,-10.3993,-3.37146,-8.23682,-2.72297,-1.54924,-0.510335
12,1680,-7.39797,-2.40256,-8.24244,-2.71415,-1.54996,-0.511863
12,1740,-7.56565,-2.46732,-5.35639,-1.76781,-1.66178,-0.545063
12,1800,-7.56567,-2.46783,-5.35613,-1.76735,-1.82479,-0.598637
12,1860,-7.87122,-2.56716,-5.20527,-1.71887,-1.82509,-0.598054
12,1920,-10.2177,-3.32337,-5.20133,-1.72265,-2.34751,-0.766668
12,1980,-9.93118,-3.23357,-4.89169,-1.61904,-2.54104,-0.828972
12,2040,-9.93088,-3.23534,-4.70906,-1.55831,-2.78208,-0.907242
12,2100,-4.98766,-1.63527,-2.56063,-0.84382,-2.88213,-0.942417
12,2160,-5.10791,-1.67419,-2.56037,-0.844278,-2.84213,-0.929133
12,2220,-5.23157,-1.71472,-2.70172,-0.890707,-3.02852,-0.99034
12,2280,-5.10776,-1.67417,-2.71289,-0.894268,-3.02861,-0.990471
12,2340,-5.25686,-1.72286,-2.71279,-0.894561,-3.02865,-0.990264
12,2400,-4.09556,-1.34463,-2.71374,-0.892828,-3.05888,-1.00187
12,2460,-3.8972,-1.27934,-2.63982,-0.868359,-2.94232,-0.96413
12,2520,-3.71423,-1.22743,-2.63782,-0.863924,-5.98226,-1.94988
12,2580,-3.53567,-1.16872,-2.63758,-0.863952,-6.08357,-1.98277
12,2640,-3.52722,-1.16636,-2.43737,-0.798022,-6.13412,-1.9989
12,2700,-3.61862,-1.1971,-2.59134,-0.848393,-6.43652,-2.09696
12,2760,-3.61877,-1.19677,-2.72838,-0.893266,-6.43663,-2.09748
12,2820,-4.59993,-1.51803,-2.63063,-0.863469,-6.12486,-1.99489
12,2880,-4.59843,-1.52264,-2.7493,-0.899457,-7.93787,-2.58271
12,2940,-4.59839,-1.52267,-2.74921,-0.899425,-7.96642,-2.59197
12,3000,-3.5946,-1.19231,-2.74992,-0.897837,-7.97057,-2.59601
12,3060,-3.53516,-1.1682,-2.67336,-0.875037,-6.12171,-1.99716
12,3120,-3.53267,-1.17193,-2.77654,-0.906288,-8.27012,-2.69372
12,3180,-3.62569,-1.20257,-2.672,-0.872791,-8.18748,-2.66593
12,3240,-3.49507,-1.15824,-2.67216,-0.872556,-7.79912,-2.54109
12,3300,-3.60057,-1.18873,-2.53639,-0.830605,-5.65288,-1.84446
12,3360,-3.54007,-1.16881,-2.70418,-0.884959,-5.61824,-1.83387
12,3420,-3.53953,-1.16974,-2.49767,-0.817529,-5.84321,-1.90573
12,3480,-3.5398,-1.16952,-2.49719,-0.817412,-5.7912,-1.88884
12,3540,-3.37887,-1.11648,-2.37908,-0.778763,-5.60399,-1.82759
13,0,-3.37908,-1.11577,-2.27874,-0.746491,-5.3363,-1.74035
13,60,-3.38051,-1.10569,-4.39254,-1.44001,-2.26663,-0.746531
13,120,-3.38002,-1.10628,-4.40497,-1.44363,-2.5423,-0.836908
13,180,-3.25538,-1.06515,-4.40504,-1.44356,-2.42096,-0.797324
13,240,-3.58657,-1.17724,-2.31157,-0.760495,-2.61853,-0.858243
13,300,-3.40851,-1.11876,-2.33415,-0.767214,-2.61837,-0.858923
13,360,-3.58631,-1.17694,-2.31399,-0.761269,-2.63164,-0.862754
13,420,-4.10742,-1.34646,-2.32549,-0.766407,-2.51398,-0.823645
13,480,-4.13797,-1.35653,-2.32565,-0.766043,-2.51347,-0.823623
13,540,-4.13397,-1.36345,-2.32356,-0.761959,-5.83948,-1.90599
13,600,-4.16209,-1.37209,-2.498,-0.819071,-5.83928,-1.90669
13,660,-3.80613,-1.26006,-2.34237,-0.765461,-7.53559,-2.45554
13,720,-3.83424,-1.26874,-2.34215,-0.765668,-7.5225,-2.4513
13,780,-3.98415,-1.31825,-2.34203,-0.76591,-7.52222,-2.45069
13,840,-3.98454,-1.31833,-2.20976,-0.722927,-7.42303,-2.41795
13,900,-4.02136,-1.33053,-2.10947,-0.690225,-7.42307,-2.41741
13,960,-3.7295,-1.23398,-2.29593,-0.750378,-7.42267,-2.41912
13,1020,-3.56607,-1.18005,-2.44085,-0.796993,-7.53094,-2.45565
13,1080,-3.84792,-1.27269,-2.51699,-0.822416,-7.53073,-2.45527
13,1140,-3.99844,-1.32174,-2.51693,-0.823036,-7.30537,-2.38167
13,1200,-12.4333,-4.04147,-2.4591,-0.820613,-7.09437,-2.28714
13,1260,-13.0173,-4.23053,-2.4377,-0.81425,-7.09286,-2.28479
13,1320,-12.8034,-4.15895,-2.80505,-0.934902,-6.81411,-2.19705
13,1380,-4.46611,-1.47503,-2.97355,-0.972874,-6.89181,-2.24764
13,1440,-4.23558,-1.39936,-2.85414,-0.933951,-6.8213,-2.22469
13,1500,-4.10322,-1.35584,-2.85416,-0.933694,-6.82153,-2.22519
13,1560,-3.53231,-1.16786,-2.66844,-0.871368,-6.82263,-2.22728
13,1620,-3.51737,-1.16307,-2.49164,-0.814278,-6.82369,-2.22662
13,1680,-3.7512,-1.24012,-2.40208,-0.785256,-6.82378,-2.22594
13,1740,-3.75503,-1.2342,-2.40415,-0.789262,-3.48696,-1.14148
13,1800,-3.75483,-1.23463,-2.40434,-0.78909,-3.65769,-1.19724
13,1860,-3.41637,-1.11514,-5.62962,-1.8425,-1.92072,-0.635212
13,1920,-3.41371,-1.11052,-8.18182,-2.67312,-1.80206,-0.598799
13,1980,-3.41041,-1.11588,-8.17372,-2.65866,-5.11585,-1.69228
13,2040,-3.09375,-1.01283,-8.43647,-2.74089,-5.24525,-1.73684
13,2100,-3.06291,-1.00625,-8.57203,-2.77465,-7.23377,-2.39265
13,2160,-3.18309,-1.04569,-8.45946,-2.73947,-7.2341,-2.39166
13,2220,-3.17332,-1.04274,-8.3113,-2.69207,-7.23446,-2.39091
13,2280,-3.37347,-1.10405,-8.16237,-2.65543,-5.20889,-1.72267
13,2340,-3.37343,-1.10411,-8.19699,-2.66664,-5.20873,-1.72268
13,2400,-3.47011,-1.13519,-8.19645,-2.66775,-5.20862,-1.72216
13,2460,-3.49542,-1.14366,-8.20855,-2.67145,-5.3019,-1.75291
13,2520,-3.44235,-1.12502,-8.53399,-2.7764,-4.90218,-1.62316
13,2580,-3.4416,-1.12522,-8.53521,-2.77685,-4.90196,-1.62276
13,2640,-3.44187,-1.12441,-8.69831,-2.83057,-4.62445,-1.53193
13,2700,-3.44437,-1.13017,-5.62709,-1.83835,-4.73439,-1.55786
13,2760,-3.73453,-1.22619,-5.3062,-1.73472,-4.91852,-1.61637
13,2820,-3.77834,-1.24079,-5.30528,-1.73394,-5.11545,-1.68098
13,2880,-3.75493,-1.23733,-2.56354,-0.840658,-5.12009,-1.67373
13,2940,-3.75497,-1.23752,-2.6036,-0.85351,-5.2722,-1.72359
13,3000,-3.75458,-1.23819,-2.60361,-0.853128,-5.5921,-1.82767
13,3060,-3.30511,-1.08997,-2.82256,-0.923677,-5.59235,-1.82975
13,3120,-3.30411,-1.09014,-2.74643,-0.899079,-5.78062,-1.89058
13,3180,-3.30236,-1.08343,-2.76993,-0.910574,-2.42694,-0.796728
13,3240,-3.28794,-1.07922,-3.14425,-1.03277,-2.71204,-0.890474
13,3300,-5.47032,-1.79375,-3.14292,-1.03556,-2.9836,-0.977085
13,3360,-5.48932,-1.80011,-3.27385,-1.07726,-3.07617,-1.00826
13,3420,-5.6652,-1.85394,-5.1057,-1.67543,-3.26536,-1.07429
13,3480,-5.54494,-1.81449,-5.33808,-1.75081,-3.2652,-1.07493
13,3540,-5.74792,-1.88122,-5.35409,-1.75654,-3.47842,-1.14429
14,0,-5.55194,-1.82131,-3.52095,-1.15813,-3.49114,-1.14395
14,60,-5.69363,-1.87755,-3.65524,-1.19762,-6.5674,-2.14061
14,120,-5.50271,-1.79953,-6.44215,-2.10933,-3.6125,-1.19146
14,180,-5.50278,-1.79829,-6.61544,-2.16637,-3.28666,-1.08492
14,240,-5.60645,-1.8322,-6.61591,-2.16702,-3.27132,-1.0795
14,300,-5.75192,-1.87901,-6.78355,-2.22188,-3.27097,-1.07969
14,360,-5.91975,-1.93309,-6.87395,-2.25234,-3.22346,-1.06389
14,420,-5.91974,-1.93365,-6.87407,-2.25192,-3.33884,-1.10179
14,480,-5.78923,-1.88922,-7.14589,-2.34012,-3.15571,-1.04262
14,540,-5.80844,-1.90596,-6.99036,-2.27968,-6.48294,-2.1315
14,600,-5.8967,-1.93364,-6.98068,-2.27812,-6.28733,-2.06722
14,660,-4.06816,-1.33391,-7.22399,-2.35339,-6.10046,-2.0096
14,720,-4.2716,-1.40024,-7.07634,-2.30842,-5.9563,-1.96062
14,780,-4.24628,-1.39161,-7.07607,-2.3086,-5.86318,-1.9304
14,840,-4.24434,-1.39583,-6.92929,-2.25577,-7.52104,-2.47147
14,900,-4.25747,-1.39982,-6.84962,-2.22962,-7.5023,-2.46559
14,960,-4.25756,-1.39994,-6.55615,-2.13409,-7.49036,-2.46106
14,1020,-4.36758,-1.43171,-6.43017,-2.09878,-5.77791,-1.9009
14,1080,-4.36434,-1.42573,-8.5608,-2.78754,-5.77386,-1.90746
